Kode Unit Motor,Tahun Kendaraan,Kilometer,Usia_Kendaraan,Kondisi_Oli,Kondisi_Rem,KM_Terakhir_Ganti_Oli,Bulan_Terakhir_Ganti_Oli,KM_Per_Tahun,Jumlah_Keluhan,Jns Service
0,2018,27973,3,1,2,5623,9,9324,1,0
2,2018,58758,6,1,1,480,10,9793,4,0
12,2022,0,0,2,0,0,7,0,0,1
6,2022,8188,1,0,0,467,1,8188,1,1
1,2022,16819,2,0,2,487,5,8409,0,1
1,2022,12709,2,1,0,7942,10,6354,4,0
12,2020,42751,4,1,1,4420,5,10687,4,0
12,2018,27708,3,1,2,4494,9,9236,3,0
6,2018,24705,4,0,1,2135,3,6176,2,0
7,2020,31556,4,2,1,2569,8,7889,2,0
5,2022,13283,2,0,0,291,1,6641,0,1
6,2019,36182,5,0,1,467,1,7236,1,0
9,2021,12181,1,0,0,1265,1,12181,0,1
12,2020,8034,1,1,0,5038,8,8034,3,0
5,2021,30667,3,1,1,313,12,10222,3,0
3,2020,19312,2,1,2,1873,10,9656,2,0
12,2020,32085,2,2,1,2977,8,16042,2,0
7,2019,22006,3,1,2,5498,9,7335,4,0
5,2019,42577,4,0,1,1098,3,10644,2,1
0,2018,49699,5,1,1,4467,7,9939,2,0
12,2019,43534,3,1,1,170,11,14511,4,0
8,2021,12092,1,1,0,4579,5,12092,2,0
9,2021,17760,2,1,2,632,12,8880,3,0
0,2019,36460,3,0,1,1203,3,12153,1,1
6,2024,258,0,1,0,93,12,258,1,1
6,2020,45763,4,1,1,3183,9,11440,3,0
4,2018,38435,4,2,1,1553,6,9608,3,0
4,2020,35890,4,0,1,450,1,8972,1,0
4,2022,28,0,0,0,0,2,28,0,1
0,2019,18042,2,2,2,2350,3,9021,0,1
0,2019,32215,3,0,1,640,1,10738,0,1
2,2022,11,0,0,0,5,3,11,1,1
8,2021,13457,2,1,0,946,11,6728,2,0
5,2018,36208,5,2,1,2756,6,7241,1,1
4,2019,27796,3,1,2,2534,11,9265,3,0
0,2021,14679,1,0,0,699,5,14679,0,1
12,2022,8081,1,0,0,526,3,8081,1,1
7,2022,14655,2,1,0,2016,11,7327,0,1
6,2018,32569,5,1,1,5068,6,6513,4,0
0,2020,13120,1,2,0,3159,4,13120,3,0
9,2018,46043,4,2,1,150,7,11510,3,0
4,2024,0,0,1,0,0,11,0,1,1
1,2021,15689,3,0,2,1340,2,5229,0,1
10,2020,13575,1,1,0,6498,8,13575,3,0
0,2021,7892,1,0,0,1326,2,7892,0,1
5,2020,36901,4,0,1,7,5,9225,1,1
1,2019,25299,5,0,1,858,4,5059,4,0
3,2019,15471,3,0,2,1251,5,5157,2,0
1,2018,55321,6,1,1,2109,9,9220,4,0
7,2019,28172,4,1,1,7386,12,7043,1,0
1,2023,10230,1,1,0,1144,11,10230,1,0
13,2021,12321,1,0,0,648,4,12321,0,1
0,2022,13793,2,0,0,666,1,6896,0,1
0,2022,10947,1,1,0,156,11,10947,1,1
8,2019,17451,2,1,2,3723,5,8725,2,0
7,2021,10148,2,1,0,4965,6,5074,0,1
10,2022,26371,2,2,2,306,7,13185,2,0
3,2024,0,0,0,0,0,1,0,0,1
0,2019,41496,5,1,1,8164,10,8299,3,0
9,2022,14443,1,1,0,7452,9,14443,2,0
0,2020,13234,1,2,0,3108,5,13234,0,1
7,2019,41644,5,0,1,1752,3,8328,0,1
6,2018,26441,3,2,2,1939,7,8813,3,0
9,2018,44811,3,0,1,1900,3,14937,4,0
7,2019,25796,3,1,2,6694,9,8598,3,0
3,2018,22665,4,0,1,853,5,5666,0,1
6,2021,0,0,1,0,0,9,0,3,0
7,2020,12700,2,0,0,1471,2,6350,0,1
13,2020,21012,2,0,2,1265,2,10506,0,1
6,2019,32811,4,0,1,1853,2,8202,2,0
4,2022,0,0,1,0,0,10,0,4,0
0,2018,59807,6,1,1,5186,12,9967,4,0
6,2020,41605,4,1,1,4052,5,10401,4,0
8,2019,27524,2,2,2,98,7,13762,2,0
7,2020,9721,1,0,0,1214,2,9721,1,1
2,2018,52205,6,1,1,6301,9,8700,3,0
4,2022,18818,2,1,2,4256,8,9409,4,0
13,2021,11050,1,1,0,1858,10,11050,3,0
1,2020,15490,2,0,0,967,3,7745,0,1
8,2019,27180,2,1,2,2097,12,13590,1,0
12,2018,32503,3,1,1,3930,9,10834,0,1
7,2021,33,0,1,0,6,11,33,2,0
0,2023,8790,1,1,0,4307,8,8790,3,0
5,2020,39728,4,0,1,861,4,9932,4,0
1,2019,44331,5,1,1,2202,9,8866,3,0
7,2018,42938,5,1,1,3856,7,8587,4,0
5,2018,36210,5,1,1,1133,9,7242,3,0
1,2020,9359,1,1,0,1566,9,9359,2,0
9,2020,44448,3,1,1,1381,12,14816,2,0
0,2021,29700,2,1,1,1326,12,14850,0,1
7,2019,19590,2,1,2,8641,10,9795,1,0
2,2021,491,0,2,0,244,7,491,1,0
13,2022,13604,1,1,0,5176,10,13604,1,0
1,2019,24788,4,1,1,5049,9,6197,3,0
9,2019,42883,3,1,1,3966,11,14294,4,0
0,2021,8842,1,2,0,1046,6,8842,4,0
1,2021,9153,1,1,0,3503,11,9153,4,0
1,2018,53485,5,1,1,7328,12,10697,4,0
10,2022,0,0,0,0,0,4,0,0,1
4,2021,367,0,1,0,152,12,367,0,1
9,2021,31411,2,1,1,4731,11,15705,2,0
5,2018,27607,3,1,2,4288,12,9202,2,0
2,2019,18916,2,1,2,7407,12,9458,2,0
12,2020,53826,4,2,1,3322,5,13456,4,0
2,2022,8396,1,0,0,399,1,8396,0,1
9,2020,34517,4,0,1,1466,2,8629,2,0
8,2022,21634,2,1,2,3649,5,10817,4,0
6,2022,16525,2,2,2,1938,6,8262,3,0
1,2021,0,0,2,0,0,6,0,1,0
6,2022,0,0,2,0,0,7,0,0,1
10,2020,23417,2,1,2,9315,11,11708,4,0
6,2021,0,0,2,0,0,8,0,1,0
7,2019,23771,3,1,2,4671,11,7923,2,0
6,2018,37902,6,0,1,1028,1,6317,0,1
8,2020,9565,1,2,0,2584,3,9565,2,0
7,2019,21757,4,2,1,3381,8,5439,1,1
5,2021,9725,1,2,0,3314,5,9725,3,0
2,2021,8878,1,2,0,2174,8,8878,3,0
9,2022,27680,2,1,2,3738,12,13840,3,0
12,2020,24786,2,2,2,2730,7,12393,4,0
9,2018,49405,5,0,1,78,1,9881,3,0
5,2021,8540,1,2,0,2619,7,8540,2,0
9,2019,22475,3,0,2,1010,1,7491,2,0
9,2020,34116,3,2,1,3226,6,11372,3,0
0,2019,27118,2,2,2,790,6,13559,3,0
5,2020,5126,1,2,0,1840,7,5126,2,0
6,2018,33979,4,1,1,8962,11,8494,3,0
13,2018,45228,6,2,1,2537,5,7538,2,0
1,2020,42641,4,2,1,3158,4,10660,4,0
1,2020,34115,4,0,1,627,3,8528,3,0
12,2023,210,0,2,0,171,6,210,0,1
3,2020,7040,1,2,0,1048,6,7040,0,1
9,2021,15045,2,0,0,1646,1,7522,0,1
2,2022,0,0,1,0,0,10,0,1,1
0,2024,162,0,0,0,74,1,162,0,1
6,2019,38798,5,0,1,1483,1,7759,0,1
4,2021,14456,3,0,2,371,5,4818,0,1
11,2021,7889,1,1,0,3253,10,7889,3,0
2,2020,24150,3,0,2,931,1,8050,0,1
13,2022,7229,1,1,0,2116,11,7229,3,0
0,2023,9825,1,1,0,3659,10,9825,2,0
12,2018,67030,6,1,1,6376,10,11171,2,0
6,2018,25196,3,0,2,414,4,8398,3,0
5,2020,7031,1,1,0,4307,10,7031,2,0
10,2018,49138,5,1,1,612,10,9827,2,0
4,2022,16431,2,1,2,7448,9,8215,3,0
5,2019,28772,3,1,1,9897,12,9590,4,0
6,2019,21816,3,1,2,10026,12,7272,4,0
10,2018,83237,6,1,1,667,10,13872,3,0
7,2022,9599,2,2,0,1532,8,4799,0,1
0,2019,36690,5,2,1,3197,6,7338,1,1
12,2019,71469,5,0,1,681,4,14293,2,0
2,2018,31941,5,2,1,2570,3,6388,3,0
5,2018,33836,6,1,1,1256,10,5639,4,0
9,2019,31882,2,1,1,4374,6,15941,4,0
3,2021,21000,2,2,2,2960,5,10500,3,0
12,2020,17071,2,2,2,600,8,8535,1,0
0,2018,28772,3,1,1,4263,9,9590,4,0
1,2020,6708,1,1,0,34,12,6708,3,0
1,2021,0,0,1,0,0,9,0,3,0
6,2020,19499,3,1,2,5002,10,6499,3,0
9,2020,14602,1,1,0,2469,12,14602,0,1
12,2020,9640,1,2,0,732,6,9640,0,1
0,2018,29915,3,1,1,5349,9,9971,4,0
4,2018,19417,3,0,2,860,3,6472,3,0
9,2021,8339,1,2,0,1526,6,8339,2,0
10,2022,357,0,2,0,328,8,357,4,0
0,2022,28800,2,2,1,2328,3,14400,0,1
12,2019,28178,2,2,1,2380,8,14089,0,1
1,2019,25943,3,0,2,1160,1,8647,0,1
12,2019,39813,5,0,1,493,4,7962,3,0
13,2019,49974,4,0,1,1867,2,12493,3,0
6,2020,12364,1,2,0,1863,7,12364,1,1
1,2019,28681,4,0,1,1377,1,7170,4,0
4,2020,25358,4,1,1,4931,11,6339,3,0
7,2018,24972,5,0,1,1170,2,4994,1,1
12,2023,10780,1,0,0,159,1,10780,0,1
7,2020,23463,4,2,1,449,7,5865,4,0
12,2019,42544,3,2,1,3323,4,14181,4,0
13,2019,34635,3,0,1,1097,4,11545,2,0
0,2020,18876,2,0,2,494,5,9438,2,0
4,2023,0,0,1,0,0,9,0,0,1
4,2018,16331,3,2,2,2307,3,5443,3,0
0,2023,12862,1,0,0,1217,5,12862,0,1
13,2022,23639,2,0,2,2066,3,11819,1,0
7,2023,0,0,0,0,0,5,0,1,1
4,2023,6441,1,0,0,1749,3,6441,1,1
8,2021,16516,2,0,2,1512,3,8258,1,1
9,2020,31714,3,1,1,4840,10,10571,3,0
9,2022,21034,2,1,2,9373,12,10517,3,0
5,2023,143,0,0,0,136,2,143,1,1
6,2020,37075,3,0,1,643,1,12358,0,1
5,2021,14997,3,2,2,2289,8,4999,1,0
6,2024,35,0,0,0,9,2,35,0,1
6,2021,33162,3,1,1,258,11,11054,3,0
2,2022,0,0,1,0,0,9,0,0,1
5,2019,37404,4,0,1,2173,5,9351,0,1
4,2021,23615,3,1,2,2997,11,7871,3,0
1,2018,32997,4,0,1,712,2,8249,3,0
4,2023,346,0,1,0,145,9,346,3,0
12,2021,27256,2,0,2,845,1,13628,0,1
3,2022,0,0,1,0,0,9,0,1,0
5,2021,0,0,0,0,0,5,0,0,1
1,2019,23901,5,0,1,528,2,4780,4,0
5,2020,19083,2,0,2,38,5,9541,0,1
7,2018,45897,5,0,1,476,1,9179,3,0
2,2022,20518,2,1,2,7137,12,10259,3,0
6,2021,7308,1,2,0,3474,4,7308,4,0
13,2023,10196,1,1,0,6123,9,10196,4,0
0,2019,69118,5,1,1,3693,8,13823,2,0
3,2019,43911,5,1,1,3393,9,8782,1,1
5,2018,23126,3,1,2,263,12,7708,3,0
4,2021,0,0,1,0,0,10,0,1,1
12,2021,11707,1,1,0,2362,11,11707,2,0
10,2021,0,0,2,0,0,7,0,0,1
4,2023,452,0,1,0,194,12,452,0,1
0,2018,47465,6,1,1,4271,7,7910,4,0
8,2020,9471,1,2,0,3424,4,9471,2,0
5,2019,21540,3,1,2,5573,10,7180,2,0
8,2021,19257,2,1,2,4064,7,9628,3,0
5,2019,32194,5,0,1,1767,5,6438,3,0
8,2020,7860,1,1,0,6979,11,7860,2,0
6,2021,338,0,0,0,24,2,338,0,1
13,2018,57251,5,1,1,3184,9,11450,4,0
6,2018,43706,4,1,1,4712,10,10926,2,0
8,2018,71625,5,2,1,3446,4,14325,2,0
5,2019,31421,4,1,1,4705,7,7855,1,0
4,2023,437,0,2,0,218,6,437,0,1
2,2019,19289,3,2,2,2933,5,6429,2,0
12,2021,0,0,1,0,0,9,0,1,1
12,2021,144,0,1,0,95,12,144,3,0
0,2019,13919,2,1,0,5903,9,6959,2,0
12,2022,0,0,0,0,0,2,0,0,1
6,2020,15829,2,1,0,2481,9,7914,0,1
12,2021,7249,1,1,0,5090,7,7249,3,0
1,2018,50856,6,1,1,352,10,8476,2,0
0,2020,27315,2,1,2,5805,10,13657,3,0
4,2019,28536,3,1,1,3556,8,9512,3,0
5,2019,37865,4,1,1,1239,10,9466,3,0
1,2023,0,0,0,0,0,2,0,0,1
11,2021,27306,3,1,2,6608,9,9102,3,0
9,2019,41598,5,1,1,4211,6,8319,2,0
4,2021,26369,3,1,2,4146,11,8789,3,0
12,2021,40589,3,0,1,1090,2,13529,4,0
9,2020,30550,2,1,1,3020,12,15275,3,0
8,2021,0,0,2,0,0,8,0,2,0
3,2022,7701,1,0,0,495,2,7701,0,1
5,2021,456,0,1,0,48,12,456,2,0
6,2021,412,0,0,0,232,1,412,0,1
13,2021,0,0,1,0,0,12,0,3,0
5,2022,6492,1,1,0,2592,12,6492,4,0
9,2018,41624,4,1,1,192,11,10406,4,0
9,2018,30281,4,0,1,1917,2,7570,1,0
1,2019,31702,3,1,1,4342,9,10567,4,0
12,2019,24052,2,1,2,7495,11,12026,3,0
4,2019,29338,5,1,1,761,10,5867,3,0
4,2021,25021,3,1,2,4829,11,8340,2,0
9,2019,24430,3,0,2,1074,2,8143,1,1
12,2018,48005,3,2,1,1855,8,16001,3,0
1,2022,13564,2,1,0,6211,7,6782,3,0
11,2020,26517,3,1,2,7754,12,8839,1,1
12,2022,480,0,2,0,173,7,480,4,0
4,2018,30535,3,2,1,2303,3,10178,3,0
13,2020,39105,4,0,1,924,3,9776,4,0
9,2018,40476,4,1,1,3466,10,10119,3,0
2,2022,11162,2,1,0,731,10,5581,0,1
4,2018,15340,3,0,2,583,3,5113,0,1
7,2019,26132,3,1,2,6153,11,8710,4,0
9,2024,0,0,0,0,0,5,0,0,1
0,2022,90,0,1,0,28,11,90,3,0
10,2022,383,0,0,0,311,4,383,0,1
10,2020,9849,1,0,0,659,3,9849,0,1
2,2018,35650,6,1,1,3883,6,5941,4,0
4,2019,49265,5,1,1,4258,12,9853,4,0
9,2022,8594,1,2,0,483,8,8594,1,1
9,2018,44849,6,2,1,695,6,7474,4,0
6,2023,340,0,1,0,123,11,340,2,0
5,2020,7821,1,2,0,3001,6,7821,0,1
0,2019,27025,3,1,2,1517,11,9008,4,0
9,2020,27607,2,1,2,3438,12,13803,4,0
10,2023,8132,1,0,0,735,1,8132,0,1
6,2024,220,0,2,0,89,8,220,0,1
6,2019,23277,2,0,2,15,2,11638,0,1
6,2023,12132,1,1,0,3740,6,12132,0,1
4,2019,35922,4,2,1,2249,8,8980,4,0
9,2018,25593,3,0,2,416,1,8531,1,1
12,2022,0,0,0,0,0,1,0,1,1
4,2023,9405,1,2,0,2410,5,9405,0,1
8,2019,47523,4,0,1,369,2,11880,3,0
12,2018,55355,6,1,1,5652,9,9225,3,0
6,2019,19042,3,2,2,2396,8,6347,3,0
6,2021,0,0,1,0,0,10,0,3,0
10,2018,52632,5,2,1,3147,4,10526,2,0
10,2021,30964,3,1,1,8266,10,10321,3,0
9,2020,36655,4,0,1,472,1,9163,0,1
1,2021,28808,3,0,1,612,3,9602,1,1
5,2018,41577,5,1,1,5427,9,8315,4,0
6,2022,11650,1,1,0,1991,12,11650,2,0
9,2018,46801,3,2,1,1486,6,15600,1,1
13,2024,432,0,0,0,8,2,432,0,1
6,2024,371,0,0,0,202,1,371,0,1
10,2022,14532,2,0,0,1202,1,7266,0,1
12,2020,48275,3,1,1,4642,12,16091,3,0
5,2021,20508,3,1,2,7648,11,6836,3,0
5,2020,20923,3,0,2,1777,4,6974,0,1
3,2021,13063,2,0,0,1046,2,6531,0,1
5,2021,5325,1,0,0,1855,3,5325,0,1
0,2023,390,0,0,0,116,2,390,0,1
1,2019,27962,3,0,2,1394,3,9320,1,0
4,2018,36513,4,1,1,5189,9,9128,4,0
6,2022,8305,1,2,0,70,7,8305,0,1
12,2024,326,0,1,0,212,9,326,0,1
8,2022,0,0,2,0,0,6,0,1,0
0,2019,51376,4,1,1,3399,12,12844,4,0
6,2022,7321,1,1,0,5374,8,7321,3,0
9,2021,12740,1,0,0,798,5,12740,1,1
5,2022,460,0,1,0,50,9,460,0,1
0,2020,16811,2,2,2,1945,7,8405,0,1
4,2019,41335,5,2,1,52,6,8267,2,0
1,2019,20322,2,2,2,2428,4,10161,4,0
6,2019,24824,2,0,2,560,3,12412,3,0
12,2021,8058,1,2,0,2744,4,8058,0,1
1,2021,26997,3,2,2,1931,7,8999,3,0
1,2023,9894,1,1,0,3778,6,9894,3,0
2,2018,45756,5,2,1,3138,4,9151,3,0
0,2019,39474,5,0,1,490,4,7894,4,0
1,2018,43332,5,1,1,7000,11,8666,4,0
7,2021,458,0,2,0,423,8,458,1,1
5,2023,6212,1,1,0,1767,11,6212,3,0
4,2020,20844,2,0,2,966,2,10422,0,1
10,2021,41931,3,2,1,3073,8,13977,2,0
13,2019,36865,3,0,1,448,4,12288,3,0
5,2020,15612,3,0,2,81,3,5204,0,1
7,2021,10458,1,1,0,5118,11,10458,3,0
0,2020,9584,1,1,0,6981,8,9584,3,0
4,2020,13870,2,0,0,288,1,6935,0,1
9,2020,30249,2,1,1,364,10,15124,1,0
1,2022,15733,2,0,0,14,3,7866,0,1
0,2019,28145,3,2,1,733,6,9381,2,0
12,2022,75,0,1,0,2,12,75,4,0
5,2019,37886,5,2,1,288,7,7577,3,0
6,2019,41525,4,0,1,304,1,10381,0,1
0,2022,11588,1,2,0,721,6,11588,0,1
6,2022,0,0,1,0,0,10,0,2,0
9,2019,42551,3,1,1,564,9,14183,3,0
6,2020,9961,1,1,0,4838,7,9961,2,0
4,2019,25846,3,1,2,2764,9,8615,2,0
8,2021,39203,3,1,1,7116,11,13067,3,0
6,2018,30528,4,0,1,319,2,7632,2,0
9,2022,25508,2,0,2,421,5,12754,1,1
9,2019,48049,4,2,1,2454,4,12012,4,0
2,2022,206,0,1,0,151,10,206,0,1
6,2020,17767,2,1,2,3830,12,8883,4,0
13,2018,81812,6,1,1,4722,10,13635,4,0
6,2022,13096,2,0,0,1216,2,6548,0,1
7,2020,21348,2,1,2,3535,4,10674,3,0
6,2020,10901,1,0,0,353,2,10901,0,1
10,2021,28052,3,1,1,5462,12,9350,0,1
1,2018,34749,6,2,1,55,6,5791,3,0
0,2020,26388,2,1,2,6274,10,13194,1,0
6,2022,221,0,2,0,23,7,221,0,1
1,2021,5010,1,1,0,726,12,5010,0,1
4,2021,22035,3,0,2,1009,2,7345,0,1
0,2023,367,0,0,0,16,3,367,1,1
4,2023,0,0,1,0,0,9,0,0,1
5,2019,10386,2,0,0,372,3,5193,0,1
7,2020,8145,1,0,0,97,2,8145,0,1
12,2021,16581,2,2,2,2319,4,8290,2,0
1,2022,5141,1,1,0,2614,9,5141,0,1
10,2020,10668,1,0,0,1346,2,10668,3,0
11,2020,25496,2,0,2,2139,4,12748,0,1
5,2020,8919,1,2,0,2878,5,8919,0,1
7,2021,0,0,1,0,0,9,0,2,0
0,2020,21185,2,1,2,51,11,10592,2,0
10,2022,244,0,2,0,191,6,244,4,0
13,2019,71864,5,1,1,4824,10,14372,4,0
13,2023,8824,1,1,0,1371,10,8824,3,0
11,2022,0,0,0,0,0,3,0,1,0
7,2019,19662,2,0,2,1109,3,9831,0,1
13,2019,50212,4,0,1,1737,3,12553,0,1
13,2019,27191,2,1,2,9323,12,13595,4,0
0,2021,7089,1,1,0,4998,11,7089,3,0
13,2022,14529,2,1,0,1499,9,7264,3,0
0,2021,0,0,0,0,0,1,0,0,1
4,2019,15271,2,2,0,446,7,7635,0,1
8,2019,23983,2,0,2,1320,2,11991,3,0
10,2021,22901,2,0,2,429,3,11450,1,0
6,2020,6134,1,1,0,2494,12,6134,2,0
3,2022,476,0,0,0,233,3,476,0,1
2,2021,0,0,2,0,0,6,0,3,0
10,2021,0,0,0,0,0,1,0,0,1
0,2020,14291,2,2,0,3438,5,7145,0,1
1,2018,30309,4,1,1,5298,9,7577,2,0
5,2023,0,0,2,0,0,8,0,0,1
1,2020,8116,1,1,0,2310,11,8116,3,0
9,2021,0,0,1,0,0,9,0,1,1
12,2022,0,0,0,0,0,5,0,0,1
1,2020,36196,4,0,1,350,3,9049,3,0
6,2021,9556,1,2,0,3101,6,9556,1,1
4,2018,32915,6,1,1,5915,9,5485,4,0
4,2022,9993,2,1,0,278,10,4996,2,0
4,2018,22706,3,1,2,6986,12,7568,2,0
12,2020,27206,3,1,2,3908,7,9068,3,0
4,2019,31328,5,2,1,1552,6,6265,0,1
7,2019,33454,5,0,1,192,1,6690,3,0
6,2019,15861,2,0,0,719,2,7930,0,1
0,2019,16568,2,1,2,1941,11,8284,1,0
5,2024,0,0,2,0,0,6,0,2,0
6,2019,21173,2,1,2,6132,12,10586,3,0
9,2022,0,0,0,0,0,5,0,0,1
13,2023,0,0,1,0,0,10,0,4,0
9,2019,34054,3,1,1,3606,5,11351,1,1
9,2020,7662,1,1,0,4581,9,7662,3,0
5,2018,51483,5,1,1,886,10,10296,4,0
4,2023,0,0,0,0,0,5,0,0,1
9,2024,0,0,0,0,0,2,0,0,1
6,2018,25996,4,0,1,513,2,6499,2,0
12,2019,30071,3,2,1,1233,8,10023,4,0
10,2020,25566,2,2,2,193,7,12783,3,0
5,2018,23526,4,0,1,879,3,5881,2,0
6,2020,8368,1,0,0,772,2,8368,1,1
9,2019,29496,2,0,1,376,1,14748,0,1
12,2018,82500,6,2,1,2335,5,13750,4,0
0,2022,0,0,1,0,0,12,0,1,1
3,2019,21227,3,1,2,3957,5,7075,3,0
6,2021,12735,2,2,0,2383,4,6367,0,1
12,2021,9127,1,2,0,3050,6,9127,0,1
9,2020,16172,2,1,2,3842,9,8086,2,0
9,2019,29588,2,2,1,3496,8,14794,3,0
0,2020,22413,2,1,2,4466,6,11206,1,0
9,2018,75561,6,0,1,1766,2,12593,3,0
4,2019,45922,5,2,1,2439,4,9184,3,0
9,2020,14392,2,1,0,1909,10,7196,1,1
9,2019,21612,2,1,2,2996,10,10806,1,0
12,2018,46326,4,0,1,93,3,11581,1,1
8,2021,0,0,1,0,0,11,0,0,1
12,2019,19187,2,1,2,4457,9,9593,2,0
10,2018,61335,5,1,1,5522,10,12267,4,0
0,2021,17514,2,2,2,2617,6,8757,0,1
9,2021,27738,2,1,2,3493,10,13869,2,0
6,2022,63,0,2,0,29,6,63,1,1
5,2021,14567,2,1,0,7296,10,7283,4,0
9,2019,25794,2,2,2,2114,6,12897,3,0
1,2020,21894,2,2,2,2938,5,10947,3,0
4,2021,18158,2,2,2,3095,3,9079,2,0
10,2021,40297,3,0,1,1024,2,13432,3,0
12,2018,43706,4,0,1,1312,5,10926,2,0
10,2021,11288,1,1,0,3204,11,11288,0,1
1,2019,18592,2,2,2,2638,6,9296,2,0
10,2018,26137,3,0,2,2023,4,8712,3,0
12,2023,12729,1,0,0,271,3,12729,0,1
4,2020,28267,3,2,1,2634,6,9422,4,0
0,2018,43965,6,0,1,1026,1,7327,0,1
6,2024,0,0,2,0,0,8,0,0,1
4,2021,9508,1,0,0,1132,3,9508,1,1
12,2021,15911,1,1,0,8032,12,15911,1,0
1,2019,10272,2,0,0,1505,4,5136,0,1
13,2022,18608,2,0,2,187,1,9304,0,1
0,2021,40999,3,1,1,1208,9,13666,2,0
6,2019,21619,2,1,2,6351,9,10809,2,0
11,2018,47771,5,2,1,2922,4,9554,4,0
10,2019,45479,5,0,1,1936,5,9095,3,0
0,2021,14402,1,0,0,288,5,14402,1,1
9,2024,0,0,1,0,0,10,0,2,0
9,2021,14089,2,0,0,133,2,7044,1,1
9,2018,38142,4,1,1,8297,11,9535,2,1
6,2021,25670,3,0,2,486,4,8556,0,1
7,2021,0,0,2,0,0,8,0,0,1
1,2018,31790,6,0,1,842,1,5298,1,1
5,2020,9773,1,0,0,1400,2,9773,0,1
3,2022,9789,1,1,0,5859,12,9789,2,0
13,2018,44132,4,0,1,773,2,11033,2,0
0,2020,16229,2,0,2,289,4,8114,2,0
6,2018,27975,3,0,2,351,4,9325,0,1
9,2020,29980,4,2,1,2591,7,7495,2,1
12,2019,50641,5,1,1,5603,10,10128,4,0
0,2018,42253,3,0,1,335,1,14084,4,0
6,2021,31316,3,2,1,2144,7,10438,2,0
4,2020,6518,1,2,0,2606,4,6518,0,1
4,2020,5273,1,0,0,215,1,5273,0,1
0,2019,47139,4,2,1,2281,6,11784,3,0
9,2020,15748,2,1,0,855,12,7874,3,0
9,2022,17581,2,1,2,5510,7,8790,1,0
6,2022,19282,2,1,2,5849,7,9641,4,0
6,2019,61474,5,1,1,4107,6,12294,4,0
3,2024,0,0,1,0,0,9,0,0,1
6,2020,32851,3,1,1,6858,10,10950,2,0
9,2024,0,0,0,0,0,5,0,1,1
6,2021,25450,3,0,2,1365,1,8483,0,1
6,2021,13329,2,0,0,77,3,6664,2,0
6,2020,24796,2,1,2,2335,11,12398,1,1
3,2020,21175,2,0,2,1256,1,10587,0,1
9,2019,24533,2,2,2,693,7,12266,3,0
13,2023,13544,1,1,0,3735,11,13544,0,1
5,2022,194,0,2,0,96,6,194,0,1
0,2018,26835,3,1,2,2423,11,8945,1,1
12,2019,21655,2,1,2,5416,6,10827,3,0
4,2021,231,0,0,0,62,4,231,0,1
1,2022,15883,2,0,0,371,1,7941,1,1
7,2022,0,0,1,0,0,12,0,2,0
5,2019,29414,3,0,1,475,1,9804,1,0
2,2019,11999,2,1,0,5336,8,5999,4,0
10,2021,312,0,1,0,270,10,312,0,1
6,2019,26547,3,1,2,6908,8,8849,3,0
