Tgl FJB,No FJB,Kode Cust,Kode Unit Motor,Tahun Kendaraan,Kilometer,Jns Service,Kondisi_Oli,Kondisi_Rem,Bulan_Terakhir_Ganti_Oli,KM_Terakhir_Ganti_Oli,Usia_Kendaraan,Jumlah_Keluhan,KM_Per_Tahun
12-01-2021,FJB/3937/SBY/PL/8075,SBY1524236,MT-15,2019,17451,Repair,Kritis,Perlu Penyetelan,5,3723,2,2,8725
12-01-2021,FJB/6775/SBY/PL/9168,SBY9622953,NMAX-NEO-S,2019,23523,Repair,Kritis,Perlu Penyetelan,11,434,2,4,11761
12-01-2021,FJB/4926/SBY/PL/4216,SBY9804608,MIO-M3 125,2019,18435,Repair,Kritis,Perlu Penyetelan,11,7769,2,2,9217
12-01-2021,FJB/7768/SBY/PL/3283,SBY7041087,ALL-NEW-AEROX,2020,7836,Rutin,Kritis,Baik,9,5490,1,0,7836
12-01-2021,FJB/9274/SBY/PL/1481,SBY1893873,MIO,2019,20811,Kupon Gratis II (TIGA),Baik,Perlu Penyetelan,2,1847,2,0,10405
12-01-2021,FJB/3161/SBY/PL/1057,SBY2141771,ALL-NEW-NMAX,2021,475,Repair,Kritis,Baik,12,23,0,1,475
12-01-2021,FJB/3385/SBY/PL/8141,SBY3025783,NMAX-NEO-S,2021,133,Repair,Kritis,Baik,11,128,0,4,133
12-01-2021,FJB/3993/SBY/PL/5442,SBY4510623,ALL-NEW-NMAX,2021,171,Rutin,Baik,Baik,3,127,0,0,171
12-01-2021,FJB/9835/SBY/PL/8632,SBY3302335,MIO,2019,14181,Repair,Kritis,Baik,12,9035,2,2,7090
12-01-2021,FJB/1613/SBY/PL/9884,SBY4839009,MIO-M3 125,2021,418,Repair,Kritis,Baik,10,332,0,3,418
12-01-2021,FJB/3008/SBY/PL/4585,SBY2620464,FAZZIO-NEO-HY,2018,24690,Repair,Kritis,Perlu Penyetelan,11,4385,3,4,8230
13-01-2021,FJB/8429/SBY/PL/2801,SBY7361668,LEXI,2018,31425,Repair,Kritis,Perlu Penggantian,9,7860,3,3,10475
13-01-2021,FJB/6455/SBY/PL/2686,SBY9101505,MIO-M3 125,2019,17421,Repair,Kritis,Perlu Penyetelan,11,1737,2,3,8710
13-01-2021,FJB/9137/SBY/PL/7835,SBY1254524,FREE-GO-S,2020,5399,Repair,Kritis,Baik,12,2374,1,1,5399
13-01-2021,FJB/2218/SBY/PL/5315,SBY6438515,MIO,2018,24041,Repair,Baik,Perlu Penyetelan,3,43,3,3,8013
13-01-2021,FJB/3218/SBY/PL/4101,SBY2823005,LEXI,2021,154,Rutin,Perlu Ganti,Baik,7,83,0,1,154
13-01-2021,FJB/8550/SBY/PL/2495,SBY6929717,MIO,2020,9722,Repair,Kritis,Baik,8,4478,1,3,9722
14-01-2021,FJB/9930/SBY/PL/4079,SBY5044057,MIO,2018,19572,Rutin,Baik,Perlu Penyetelan,3,397,3,0,6524
14-01-2021,FJB/4466/SBY/PL/1665,SBY7402198,MIO,2020,6212,Repair,Kritis,Baik,9,657,1,3,6212
14-01-2021,FJB/8012/SBY/PL/7479,SBY7335876,MIO-M3 125,2021,0,Rutin,Kritis,Baik,10,0,0,1,0
14-01-2021,FJB/5539/SBY/PL/5160,SBY5476483,XSR 155,2019,25700,Repair,Kritis,Perlu Penyetelan,12,4680,2,2,12850
14-01-2021,FJB/3013/SBY/PL/3354,SBY8373248,NMAX-NEO-S,2021,0,Rutin,Perlu Ganti,Baik,6,0,0,0,0
15-01-2021,FJB/7385/SBY/PL/6691,SBY9352133,ALL-NEW-AEROX,2018,30200,Rutin,Baik,Perlu Penggantian,4,1332,3,0,10066
15-01-2021,FJB/6087/SBY/PL/1330,SBY4903159,LEXI,2018,17712,Repair,Kritis,Perlu Penyetelan,10,6517,3,4,5904
15-01-2021,FJB/2057/SBY/PL/1509,SBY7716965,LEXI,2021,0,Rutin,Baik,Baik,5,0,0,0,0
15-01-2021,FJB/1971/SBY/PL/1912,SBY7236064,X-MAX-CONNEC,2020,15365,Rutin,Baik,Baik,4,196,1,0,15365
15-01-2021,FJB/5294/SBY/PL/4094,SBY3170020,ALL-NEW-NMAX,2020,6668,Rutin,Kritis,Baik,6,4569,1,0,6668
15-01-2021,FJB/7544/SBY/PL/4830,SBY9540284,MIO-M3 125,2019,10421,Rutin,Perlu Ganti,Baik,7,1171,2,1,5210
15-01-2021,FJB/9385/SBY/PL/8822,SBY5630707,FILANO-NEO,2018,16209,Rutin,Kritis,Perlu Penyetelan,9,4858,3,0,5403
16-01-2021,FJB/7430/SBY/PL/7005,SBY1682683,NMAX-NEO-S,2019,23525,Repair,Perlu Ganti,Perlu Penyetelan,7,2972,2,3,11762
16-01-2021,FJB/4034/SBY/PL/9459,SBY8952241,MIO,2021,0,Rutin,Perlu Ganti,Baik,6,0,0,0,0
16-01-2021,FJB/5761/SBY/PL/6774,SBY3294398,MIO,2018,24335,Repair,Kritis,Perlu Penyetelan,10,3670,3,2,8111
16-01-2021,FJB/1415/SBY/PL/9523,SBY3543943,XSR 155,2021,188,Repair,Kritis,Baik,11,61,0,3,188
16-01-2021,FJB/9932/SBY/PL/4218,SBY1934418,LEXI,2021,459,Repair,Baik,Baik,4,401,0,2,459
17-01-2021,FJB/9540/SBY/PL/6665,SBY8143557,NMAX-NEO-S,2018,37324,Rutin,Baik,Perlu Penggantian,1,686,3,0,12441
17-01-2021,FJB/2352/SBY/PL/4379,SBY3444443,MT-15,2020,8475,Rutin,Baik,Baik,1,1320,1,0,8475
17-01-2021,FJB/4381/SBY/PL/2092,SBY1135118,X-MAX-CONNEC,2018,44010,Repair,Kritis,Perlu Penggantian,12,2581,3,2,14670
17-01-2021,FJB/3822/SBY/PL/5777,SBY1320044,FREE-GO-S,2018,17019,Rutin,Baik,Perlu Penyetelan,3,2112,3,0,5673
17-01-2021,FJB/4982/SBY/PL/5384,SBY1383581,LEXI,2020,7449,Repair,Kritis,Baik,12,3439,1,3,7449
17-01-2021,FJB/1528/SBY/PL/5504,SBY6921883,MT-15,2021,0,Repair,Baik,Baik,5,0,0,2,0
17-01-2021,FJB/5040/SBY/PL/5296,SBY3501107,MIO-M3 125,2019,10611,Rutin,Kritis,Baik,9,6344,2,0,5305
18-01-2021,FJB/5316/SBY/PL/1203,SBY5363997,NMAX-NEO-S,2019,19352,Rutin,Baik,Perlu Penyetelan,1,366,2,0,9676
18-01-2021,FJB/4798/SBY/PL/5196,SBY1328628,FREE-GO-S,2018,29524,Repair,Baik,Perlu Penggantian,5,1619,3,3,9841
18-01-2021,FJB/2368/SBY/PL/4141,SBY2235582,MIO,2019,14251,Rutin,Baik,Baik,5,693,2,0,7125
18-01-2021,FJB/2345/SBY/PL/4999,SBY5066276,LEXI,2020,6425,Rutin,Baik,Baik,4,64,1,0,6425
18-01-2021,FJB/7648/SBY/PL/3508,SBY8313553,LEXI,2020,7459,Repair,Kritis,Baik,10,3643,1,4,7459
18-01-2021,FJB/9679/SBY/PL/8038,SBY5848520,MT-15,2020,7771,Repair,Kritis,Baik,9,1403,1,4,7771
18-01-2021,FJB/7024/SBY/PL/5508,SBY3347498,LEXI,2019,16246,Repair,Kritis,Perlu Penyetelan,9,351,2,3,8123
18-01-2021,FJB/7726/SBY/PL/1769,SBY3145539,X-MAX-CONNEC,2018,24355,Repair,Kritis,Perlu Penyetelan,10,4926,3,4,8118
19-01-2021,FJB/6907/SBY/PL/5673,SBY9110037,XSR 155,2020,10454,Repair,Kritis,Baik,9,7156,1,4,10454
19-01-2021,FJB/9261/SBY/PL/1166,SBY5222296,XSR 155,2019,27575,Repair,Kritis,Perlu Penyetelan,11,9391,2,3,13787
19-01-2021,FJB/9590/SBY/PL/1189,SBY9948182,MIO-M3 125,2021,0,Repair,Perlu Ganti,Baik,6,0,0,2,0
20-01-2021,FJB/7927/SBY/PL/4784,SBY8696041,FREE-GO-S,2019,18589,Rutin,Baik,Perlu Penyetelan,1,1268,2,0,9294
20-01-2021,FJB/5645/SBY/PL/9782,SBY4054132,LEXI,2019,16474,Repair,Perlu Ganti,Perlu Penyetelan,6,931,2,1,8237
20-01-2021,FJB/5479/SBY/PL/4398,SBY9524812,FAZZIO-NEO-HY,2018,28323,Repair,Kritis,Perlu Penggantian,11,2496,3,4,9441
21-01-2021,FJB/5220/SBY/PL/5495,SBY8139816,ALL-NEW-NMAX,2020,5628,Repair,Kritis,Baik,12,2647,1,3,5628
21-01-2021,FJB/3022/SBY/PL/3374,SBY2379882,X-MAX-CONNEC,2019,15499,Repair,Kritis,Baik,6,4225,2,2,7749
21-01-2021,FJB/3436/SBY/PL/7834,SBY9022097,XSR 155,2018,40445,Repair,Kritis,Perlu Penggantian,11,199,3,4,13481
21-01-2021,FJB/6365/SBY/PL/5198,SBY8964451,XSR 155,2018,21811,Repair,Perlu Ganti,Perlu Penyetelan,7,480,3,4,7270
21-01-2021,FJB/3131/SBY/PL/2088,SBY5739021,FAZZIO-NEO-HY,2021,133,Repair,Kritis,Baik,10,75,0,3,133
21-01-2021,FJB/6759/SBY/PL/9834,SBY1419487,LEXI,2021,0,Rutin,Baik,Baik,5,0,0,0,0
21-01-2021,FJB/6612/SBY/PL/3830,SBY3280384,MIO-M3 125,2019,20325,Rutin,Baik,Perlu Penyetelan,2,1642,2,0,10162
21-01-2021,FJB/6410/SBY/PL/3417,SBY1444294,LEXI,2021,281,Repair,Perlu Ganti,Baik,6,122,0,2,281
21-01-2021,FJB/1473/SBY/PL/3536,SBY8916908,XSR 155,2020,9279,Repair,Perlu Ganti,Baik,6,750,1,4,9279
22-01-2021,FJB/1450/SBY/PL/5792,SBY4920261,MT-15,2019,25171,Kupon Gratis I (DUA),Perlu Ganti,Perlu Penyetelan,3,2556,2,0,12585
22-01-2021,FJB/3126/SBY/PL/4289,SBY4637813,MIO,2020,11367,Rutin,Kritis,Baik,12,1597,1,1,11367
22-01-2021,FJB/8172/SBY/PL/9902,SBY9997711,NMAX-NEO-S,2021,236,Rutin,Baik,Baik,4,178,0,0,236
22-01-2021,FJB/5434/SBY/PL/3883,SBY5013504,MIO,2021,327,Rutin,Baik,Baik,3,220,0,0,327
22-01-2021,FJB/7334/SBY/PL/8019,SBY1446389,ALL-NEW-NMAX,2020,9231,Repair,Kritis,Baik,6,4498,1,4,9231
22-01-2021,FJB/1701/SBY/PL/1915,SBY7089431,NMAX-NEO-S,2020,10794,Repair,Kritis,Baik,12,2621,1,3,10794
22-01-2021,FJB/4904/SBY/PL/6482,SBY3521207,R15,2019,24726,Rutin,Baik,Perlu Penyetelan,4,1739,2,0,12363
23-01-2021,FJB/2271/SBY/PL/2149,SBY6462596,ALL-NEW-AEROX,2019,19536,Repair,Kritis,Perlu Penyetelan,8,4202,2,2,9768
23-01-2021,FJB/1079/SBY/PL/6051,SBY2184024,MIO,2020,8368,Rutin,Baik,Baik,2,772,1,1,8368
23-01-2021,FJB/7829/SBY/PL/2321,SBY3294877,NMAX-NEO-S,2018,41739,Repair,Kritis,Perlu Penggantian,9,1530,3,3,13913
23-01-2021,FJB/1933/SBY/PL/1335,SBY3141154,NMAX-NEO-S,2018,34882,Repair,Perlu Ganti,Perlu Penggantian,6,2653,3,4,11627
24-01-2021,FJB/4054/SBY/PL/6508,SBY1685750,LEXI,2021,0,Repair,Perlu Ganti,Baik,6,0,0,3,0
24-01-2021,FJB/4979/SBY/PL/5597,SBY3575437,FREE-GO-S,2021,0,Repair,Kritis,Baik,11,0,0,3,0
25-01-2021,FJB/3549/SBY/PL/2036,SBY5639177,MIO,2019,19469,Jual Part,Baik,Perlu Penyetelan,1,882,2,0,9734
25-01-2021,FJB/1165/SBY/PL/9136,SBY9551368,NMAX-NEO-S,2021,0,Rutin,Perlu Ganti,Baik,7,0,0,0,0
25-01-2021,FJB/2987/SBY/PL/4298,SBY7009465,MIO,2021,431,Rutin,Baik,Baik,2,60,0,0,431
25-01-2021,FJB/9506/SBY/PL/7434,SBY3729915,ALL-NEW-AEROX,2021,0,Rutin,Baik,Baik,3,0,0,0,0
25-01-2021,FJB/3001/SBY/PL/9446,SBY2996575,NMAX-NEO-S,2019,14561,Repair,Kritis,Baik,12,9603,2,3,7280
26-01-2021,FJB/4403/SBY/PL/1530,SBY3188202,FREE-GO-S,2020,9512,Rutin,Perlu Ganti,Baik,3,2676,1,0,9512
26-01-2021,FJB/3658/SBY/PL/1332,SBY8234143,MIO,2018,33105,Repair,Perlu Ganti,Perlu Penggantian,6,389,3,4,11035
26-01-2021,FJB/2197/SBY/PL/9841,SBY3485509,NMAX-NEO-S,2018,44811,Repair,Baik,Perlu Penggantian,3,1900,3,4,14937
26-01-2021,FJB/5901/SBY/PL/8860,SBY1525633,ALL-NEW-AEROX,2018,37729,Repair,Kritis,Perlu Penggantian,7,4546,3,2,12576
26-01-2021,FJB/3090/SBY/PL/6894,SBY9366973,MIO-M3 125,2018,23399,Rutin,Baik,Perlu Penyetelan,1,931,3,0,7799
26-01-2021,FJB/9055/SBY/PL/4708,SBY8338925,XSR 155,2018,26672,Repair,Kritis,Perlu Penyetelan,8,6541,3,2,8890
27-01-2021,FJB/7795/SBY/PL/6481,SBY6688869,NMAX-NEO-S,2018,25593,Rutin,Baik,Perlu Penyetelan,1,416,3,1,8531
27-01-2021,FJB/1859/SBY/PL/8029,SBY7217279,MIO,2020,11342,Rutin,Baik,Baik,1,611,1,0,11342
27-01-2021,FJB/3051/SBY/PL/4432,SBY3052544,NMAX-NEO-S,2018,26653,Kupon Gratis I (DUA),Baik,Perlu Penyetelan,4,1988,3,0,8884
27-01-2021,FJB/6311/SBY/PL/8079,SBY9291422,FILANO-NEO,2019,10957,Rutin,Baik,Baik,2,81,2,0,5478
27-01-2021,FJB/5143/SBY/PL/4474,SBY6771586,LEXI,2020,7094,Repair,Perlu Ganti,Baik,3,2720,1,2,7094
27-01-2021,FJB/2892/SBY/PL/5713,SBY2982031,ALL-NEW-NMAX,2020,6489,Repair,Kritis,Baik,12,2954,1,3,6489
27-01-2021,FJB/1815/SBY/PL/3652,SBY1932747,ALL-NEW-AEROX,2018,29835,Repair,Baik,Perlu Penggantian,2,1330,3,3,9945
28-01-2021,FJB/2996/SBY/PL/9005,SBY1863061,X-MAX-CONNEC,2018,42505,Rutin,Baik,Perlu Penggantian,1,486,3,1,14168
28-01-2021,FJB/7353/SBY/PL/4298,SBY4134591,ALL-NEW-AEROX,2020,10306,Repair,Kritis,Baik,10,8005,1,3,10306
28-01-2021,FJB/4732/SBY/PL/8185,SBY5251911,ALL-NEW-AEROX,2021,0,Repair,Kritis,Baik,9,0,0,2,0
29-01-2021,FJB/3513/SBY/PL/8390,SBY4300781,NMAX-NEO-S,2018,38013,Rutin,Baik,Perlu Penggantian,4,2031,3,1,12671
29-01-2021,FJB/3512/SBY/PL/6511,SBY4302097,ALL-NEW-AEROX,2018,38136,Repair,Kritis,Perlu Penggantian,10,4936,3,3,12712
29-01-2021,FJB/4245/SBY/PL/3620,SBY5648739,LEXI,2021,0,Repair,Kritis,Baik,10,0,0,4,0
29-01-2021,FJB/3076/SBY/PL/7289,SBY6358762,MIO,2020,6533,Rutin,Perlu Ganti,Baik,3,2362,1,0,6533
29-01-2021,FJB/6475/SBY/PL/2601,SBY6297482,X-MAX-CONNEC,2021,383,Repair,Kritis,Baik,10,205,0,1,383
29-01-2021,FJB/7872/SBY/PL/2266,SBY5772909,ALL-NEW-NMAX,2021,121,Rutin,Baik,Baik,1,64,0,0,121
29-01-2021,FJB/8779/SBY/PL/7321,SBY2048482,VIXION,2021,340,Repair,Baik,Baik,5,336,0,3,340
29-01-2021,FJB/1793/SBY/PL/4120,SBY7613759,X-MAX-CONNEC,2019,23782,Repair,Kritis,Perlu Penyetelan,12,4250,2,3,11891
29-01-2021,FJB/1162/SBY/PL/6479,SBY2306408,ALL-NEW-NMAX,2018,25260,Kupon Gratis I (DUA),Baik,Perlu Penyetelan,2,414,3,0,8420
29-01-2021,FJB/1608/SBY/PL/5726,SBY5748136,NMAX-NEO-S,2018,29703,Repair,Baik,Perlu Penggantian,4,1754,3,3,9901
